"region","address","latitude","longitude","type","power","service"
"NDMC","Prithviraj Market, Rabindra Nagar, New Delhi- 110003","28.6007255","77.2262524","DC-001","15 kW","Self Service"
"NDMC","Prithviraj Market, Rabindra Nagar, New Delhi- 110003","28.6007255","77.2262524","DC-001","15 kW","Self Service"
"NDMC","Outside RWA Park, Jor Bagh Market, Jor Bagh Colony Road, New Delhi- 110003","28.5883031","77.2176972","DC-001","15 kW","Self Service"
"NDMC","Opposite Dory Pharmacy, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","28.5826538","77.2200872","DC-001","15 kW","Self Service"
"NDMC","Opposite Goel Opticals, Khanna Market, Aliganj, Lodhi Colony, New Delhi- 110003","28.584485","77.220316","DC-001","15 kW","Self Service"
"NDMC","Dharma Marg, Block Y, Diplomatic Enclave, Malcha Market, New Delhi- 110021","28.6023562","77.1866178","DC-001","15 kW","Self Service"
"NDMC","Outside Westend Vedi Tailors, Bock M, Middle Circle, Connaught Place, New Delhi- 110001","28.6336861","77.2181403","DC-001","15 kW","Self Service"
"NDMC","Near NDMC Office, Fire Brigade Lane, Barakhamba, New Delhi- 110001","28.6304482","77.2255578","DC-001","15 kW","Self Service"
"NDMC","Near Bikanervala, Yashwant Place, Chanakyapuri, New Delhi- 110021","28.5838828","77.163408","DC-001","15 kW","Self Service"
"NDMC","Khan Market, Rabindra Nagar, New Delhi- 110003","28.6003333","77.2268889","DC-001","15 kW","Self Service"
"NDMC","Outside Devinder Collections, Shankar Market, Connaught Place, New Delhi- 110001","28.633675","77.2234929","DC-001","15 kW","Self Service"
"NDMC","Opposite HDFC Bank, M- Block, , Connaught Place, New Delhi- 110001","28.6325843","77.2229787","DC-001","15 kW","Self Service"
"NDMC","Outside Oriental Bank, Radial Road No. 7, Block M, Connaught Place, New Delhi- 110001","28.6317294","77.2221076","DC-001","15 kW","Self Service"
"NDMC","Outside Jain Bhawan, 12 Shaheed Bhagat Singh Marg, Gole Market, New Delhi- 110001","28.633841","77.2074439","DC-001","15 kW","Self Service"
"NDMC","NDMC Parking,  Near Ferns n Petals, Near BPCL Petrol Pump,  C Block RR5, Connaught Place,  New Delhi- 110001","28.6281626","77.2155151","DC-001","15 kW","Self Service"
"NDMC","NDMC Parking,  Near Croma, D Block RR5,  Opposite BPCL Petrol Pump,  Connaught Place, New Delhi- 110001","28.6281626","77.2155151","DC-001","15 kW","Self Service"
"NDMC","Next to PVR Plaza, H Block RR4, Connaught Place, New Delhi- 110001","28.6350113","77.2196112","DC-001","15 kW","Self Service"
"NDMC","Opposite South Indian Bank, Block E, RR6, Middle Circle, Connaught Place, New Delhi- 110001","28.6338828","77.2215424","DC-001","15 kW","Self Service"
