"Name","Subtitle","acceleration_sec","range_km","price_germany","price_uk","Drive","NumberofSeats"
"Opel Ampera-e ","Battery Electric Vehicle |       58 kWh ","7.3","335","42990",NULL,"Front Wheel Drive","5"
"Renault Kangoo Maxi ZE 33","Battery Electric Vehicle |       31 kWh ","22.4","160",NULL,"31680","Front Wheel Drive","5"
"Nissan Leaf ","Battery Electric Vehicle |       36 kWh ","7.9","220","29990","25995","Front Wheel Drive","5"
"Audi e-tron Sportback 55 quattro","Battery Electric Vehicle |       86.5 kWh","5.7","375",NULL,"79900","All Wheel Drive","5"
"Porsche Taycan Turbo S","Battery Electric Vehicle |       83.7 kWh","2.8","390","186336","138830","All Wheel Drive","4"
"Nissan e-NV200 Evalia ","Battery Electric Vehicle |       36 kWh ","14","165","43433","30255","Front Wheel Drive","7"
"Volkswagen ID.3 Pure Performance","Battery Electric Vehicle |       45 kWh","8.9","275","31960","27120","Rear Wheel Drive","5"
"BMW iX3 ","Battery Electric Vehicle |       74 kWh","6.8","385","66300","58850","Rear Wheel Drive","5"
"Nissan Leaf e+","Battery Electric Vehicle |       56 kWh ","7.3","325","38350","30445","Front Wheel Drive","5"
"BMW i3 120 Ah","Battery Electric Vehicle |       37.9 kWh","7.3","235","39000","31305","Rear Wheel Drive","4"
"Mercedes EQA 250","Battery Electric Vehicle |       66.5 kWh","8.9","355","47541","43495","Front Wheel Drive","5"
"DS 3 Crossback E-Tense","Battery Electric Vehicle |       45 kWh ","8.7","250","30040","31500","Front Wheel Drive","5"
"BMW i3s 120 Ah","Battery Electric Vehicle |       37.9 kWh","6.9","230","42600","32305","Rear Wheel Drive","4"
"Sono Sion ","Battery Electric Vehicle |       47 kWh ","9","260","25500",NULL,"Front Wheel Drive","5"
"Audi e-tron GT RS","Battery Electric Vehicle |       85 kWh","3.3","405","138200","110950","All Wheel Drive","4"
"Kia e-Soul 64 kWh","Battery Electric Vehicle |       64 kWh","7.9","370",NULL,"37545","Front Wheel Drive","5"
"Renault Zoe ZE50 R110","Battery Electric Vehicle |       52 kWh","11.4","315","31990","26795","Front Wheel Drive","5"
"Hyundai IONIQ Electric","Battery Electric Vehicle |       38.3 kWh","9.7","250","35350","30550","Front Wheel Drive","5"
"Lightyear One ","Battery Electric Vehicle |       60 kWh ","10","575","149000",NULL,"All Wheel Drive","5"
"Tesla Roadster ","Battery Electric Vehicle |       200 kWh ","2.1","970","215000","189000","All Wheel Drive","4"
"Peugeot e-208 ","Battery Electric Vehicle |       45 kWh ","8.1","275","30450","27225","Front Wheel Drive","5"
"Honda e ","Battery Electric Vehicle |       28.5 kWh ","9","170","33850","27660","Rear Wheel Drive","4"
"CUPRA Born 110 kW - 55 kWh","Battery Electric Vehicle |       45 kWh","8.9","275","32700","28500","Rear Wheel Drive","5"
"Audi Q4 e-tron 35","Battery Electric Vehicle |       51.5 kWh","9","280","41900","40750","Rear Wheel Drive","5"
"Tesla Model Y Long Range Dual Motor","Battery Electric Vehicle |       76 kWh ","5.1","450","59965","54000","All Wheel Drive","7"
"Tesla Model Y Performance","Battery Electric Vehicle |       76 kWh ","3.7","430","66965","60000","All Wheel Drive","7"
"Porsche Taycan 4 Cross Turismo","Battery Electric Vehicle |       83.7 kWh","5.1","405","93635","79340","All Wheel Drive","4"
"Skoda Enyaq iV 50","Battery Electric Vehicle |       52 kWh","11.3","295","33800",NULL,"Rear Wheel Drive","5"
"Volkswagen e-Up! ","Battery Electric Vehicle |       32.3 kWh","11.9","205",NULL,NULL,"Front Wheel Drive","4"
"SEAT Mii Electric ","Battery Electric Vehicle |       32.3 kWh","12.3","205","24650",NULL,"Front Wheel Drive","4"
"Opel Corsa-e ","Battery Electric Vehicle |       45 kWh ","8.1","275","29000","27140","Front Wheel Drive","5"
"MG ZS EV","Battery Electric Vehicle |       42.5 kWh ","8.2","220","31990","25995","Front Wheel Drive","5"
"Volkswagen ID.3 Pro","Battery Electric Vehicle |       58 kWh","9.6","350","34995","28420","Rear Wheel Drive","5"
"Volkswagen ID.3 Pro S","Battery Electric Vehicle |       77 kWh","7.9","450","41995","38800","Rear Wheel Drive","4"
"Hyundai Kona Electric 64 kWh","Battery Electric Vehicle |       64 kWh","7.9","395","41850",NULL,"Front Wheel Drive","5"
"Renault Zoe ZE50 R135","Battery Electric Vehicle |       52 kWh","9.5","310","33990","28795","Front Wheel Drive","5"
"Peugeot e-2008 SUV ","Battery Electric Vehicle |       45 kWh ","8.5","250","35450","30730","Front Wheel Drive","5"
"Audi e-tron 50 quattro","Battery Electric Vehicle |       64.7 kWh","6.8","280","69100","60600","All Wheel Drive","5"
"Porsche Taycan Turbo","Battery Electric Vehicle |       83.7 kWh","3.2","400","153016","115860","All Wheel Drive","4"
"Smart EQ fortwo coupe","Battery Electric Vehicle |       16.7 kWh ","11.6","100","18460","19200","Rear Wheel Drive","2"
"Smart EQ fortwo cabrio","Battery Electric Vehicle |       16.7 kWh ","11.9","95","21720","21620","Rear Wheel Drive","2"
"Smart EQ forfour ","Battery Electric Vehicle |       16.7 kWh ","12.7","95","19120","19795","Rear Wheel Drive","4"
"Honda e Advance","Battery Electric Vehicle |       28.5 kWh ","8.3","170","38000","30160","Rear Wheel Drive","4"
"Byton M-Byte 72 kWh 2WD","Battery Electric Vehicle |       72 kWh ","7.5","325","53500","50000","Rear Wheel Drive","5"
"Byton M-Byte 95 kWh 4WD","Battery Electric Vehicle |       95 kWh ","5.5","390","64000","60000","All Wheel Drive","5"
"Renault Zoe ZE40 R110","Battery Electric Vehicle |       41 kWh","11.4","255","29990",NULL,"Front Wheel Drive","5"
"Porsche Taycan 4S","Battery Electric Vehicle |       71 kWh","4","375","106487","83580","All Wheel Drive","4"
"Porsche Taycan 4S Plus","Battery Electric Vehicle |       83.7 kWh","4","435","113008","88193","All Wheel Drive","4"
"Hyundai Kona Electric 39 kWh","Battery Electric Vehicle |       39.2 kWh","9.9","250","34850",NULL,"Front Wheel Drive","5"
"Mercedes EQV 300 Long","Battery Electric Vehicle |       90 kWh","12.1","320","71388","70665","Front Wheel Drive","7"
"Mazda MX-30 ","Battery Electric Vehicle |       30 kWh ","9.7","170","34490","26045","Front Wheel Drive","5"
"Ford Mustang Mach-E SR RWD","Battery Electric Vehicle |       68 kWh","6.9","345","46900","41330","Rear Wheel Drive","5"
"Ford Mustang Mach-E ER RWD","Battery Electric Vehicle |       88 kWh","7","440","54475","49980","Rear Wheel Drive","5"
"Ford Mustang Mach-E SR AWD","Battery Electric Vehicle |       68 kWh","6.3","330","54000","46650","All Wheel Drive","5"
"Ford Mustang Mach-E ER AWD","Battery Electric Vehicle |       88 kWh","5.8","420","62900","57030","All Wheel Drive","5"
"Ford Mustang Mach-E GT","Battery Electric Vehicle |       88 kWh","4.4","410",NULL,"67225","All Wheel Drive","5"
"Audi e-tron Sportback 50 quattro","Battery Electric Vehicle |       64.7 kWh","6.8","295","71350","69100","All Wheel Drive","5"
"Tesla Cybertruck Single Motor","Battery Electric Vehicle |       100 kWh ","7","390","45000","39000","Rear Wheel Drive","7"
"Tesla Cybertruck Dual Motor","Battery Electric Vehicle |       120 kWh ","5","460","55000","48000","All Wheel Drive","7"
"Tesla Cybertruck Tri Motor","Battery Electric Vehicle |       200 kWh ","3","750","75000","68000","All Wheel Drive","7"
"Lexus UX 300e","Battery Electric Vehicle |       50 kWh ","7.5","260","47550","43900","Front Wheel Drive","5"
"BMW i4 eDrive40","Battery Electric Vehicle |       80.7 kWh","5.7","475","58300","51905","Rear Wheel Drive","5"
